pwy_id	pwy_name	rxn_id	EC_num	blast_result	blast_result_score	pwy_completeness
12DICHLORETHDEG-PWY	 1,2-dichloroethane degradation with 4 reactions	DHLAXANAU-RXN	3.8.1.5	NO blast hit	-2	
12DICHLORETHDEG-PWY	 1,2-dichloroethane degradation with 4 reactions	MOXXANAU-RXN	1.1.2.7	NO sequence data found	0.5	
12DICHLORETHDEG-PWY	 1,2-dichloroethane degradation with 4 reactions	ALDXANAU-RXN	1.2.1.4	NO sequence data found	0.5	
12DICHLORETHDEG-PWY	 1,2-dichloroethane degradation with 4 reactions	DHLBXANAU-RXN	3.8.1.3	NO blast hit	-2	0/4 (0%)
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	DIOXYXANFL-RXN	1.14.12.26	NO sequence data found	0.5	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	CHLOROBENDDH-RXN	1.3.1.119	NO sequence data found	0.5	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	CHLOROCATDIOXY-RXN	1.13.11.M6	NO sequence data found	0.5	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	DIENELACHYDRO-RXN	3.1.1.45	NO blast hit	-2	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	CHLOROMALERED-RXN	1.3.1.32	NO blast hit	-2	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	MALEYLACETATE-REDUCTASE-RXN	1.3.1.32	NO blast hit	-2	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	RXN-18360	5.5.1.11	NO sequence data found	0.5	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	RXN-18361		--> Spontaneous reaction <--	2	
14DICHLORBENZDEG-PWY	 1,4-dichlorobenzene degradation with 9 reactions	RXN-18362		--> Spontaneous reaction <--	2	0/7 (0%)
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	DIHYDROFOLATEREDUCT-RXN	1.5.1.3	NO blast hit	-2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	5-FORMYL-THF-CYCLO-LIGASE-RXN	6.3.3.2	NO blast hit	-2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	1.5.1.20-RXN	1.5.1.20	NO blast hit	-2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	HOMOCYSMETB12-RXN	2.1.1.13	Blast hit (20x)	2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	GCVMULTI-RXN	1.4.1.M2	NO sequence data found	0.5	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	METHENYLTHFCYCLOHYDRO-RXN	3.5.4.9	Blast hit (8x)	2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	METHYLENETHFDEHYDROG-NADP-RXN	1.5.1.5	Blast hit (8x)	2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	GLYOHMETRANS-RXN	2.1.2.1	Blast hit (4x)	2	
1CMET2-PWY	 folate transformations III (E. coli) with 9 reactions	THYMIDYLATESYN-RXN	2.1.1.45	NO blast hit	-2	(4+1)/9 (55%) with 1 reactions of unclear state
2AMINOBENZDEG-PWY	 anthranilate degradation III (anaerobic) with 2 reactions	AMINOBENZCOALIG-RXN	6.2.1.32	NO blast hit	-2	
2AMINOBENZDEG-PWY	 anthranilate degradation III (anaerobic) with 2 reactions	AMBENCOATHAUERA-RXN		NO sequence data found	0.5	0/2 (0%)
2ASDEG-PWY	 orthanilate degradation with 5 reactions	2ASDOSALCAL-RXN	1.14.12.14	NO sequence data found	0.5	
2ASDEG-PWY	 orthanilate degradation with 5 reactions	3SC23OALCAL-RXN		NO sequence data found	0.5	
2ASDEG-PWY	 orthanilate degradation with 5 reactions	3SC23OSPON-RXN		--> Spontaneous reaction <--	2	
2ASDEG-PWY	 orthanilate degradation with 5 reactions	RXN-8529	5.3.2.6	NO blast hit	-2	
2ASDEG-PWY	 orthanilate degradation with 5 reactions	4.1.1.77-RXN	4.1.1.77	NO sequence data found	0.5	0/4 (0%)
2OXOBUTYRATECAT-PWY	 2-oxobutanoate degradation II with 2 reactions	2-OXOBUTYRATE-SYNTHASE-RXN	1.2.7.7	NO hit because of missing subunits	-1	
2OXOBUTYRATECAT-PWY	 2-oxobutanoate degradation II with 2 reactions	RXN-7938	3.1.2.18	NO sequence data found	0.5	0/2 (0%)
2PHENDEG-PWY	 phenylethylamine degradation I with 2 reactions	AMINEPHEN-RXN	1.4.3.21	NO blast hit	-2	
2PHENDEG-PWY	 phenylethylamine degradation I with 2 reactions	PHENDEHYD-RXN	1.2.1.39	NO sequence data found	0.5	0/2 (0%)
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	RXN-8505	1.14.14.9	Blast hit (8x)	2	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	1.13.11.15-RXN	1.13.11.15	NO blast hit	-2	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	CHMS-DEHYDROGENASE-RXN	1.2.1.60	NO sequence data found	0.5	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	5.3.3.10-RXN	5.3.3.10	--> Spontaneous reaction <--	2	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	4.1.2.52	NO blast hit	-2	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	SUCCSEMIALDDEHYDROG-RXN	1.2.1.79	Blast hit (4x)	2	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	4.2.1.163	NO sequence data found	0.5	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation with 8 reactions	4.1.1.68-RXN	4.1.1.68	Blast hit (4x)	2	(3+2)/7 (71%) with 2 reactions of unclear state
4-HYDROXYMANDELATE-DEGRADATION-PWY	 4-hydroxymandelate degradation with 6 reactions	HYDROXY-MANDELATE-RACEMASE-RXN	5.1.2.2	NO sequence data found	0.5	
4-HYDROXYMANDELATE-DEGRADATION-PWY	 4-hydroxymandelate degradation with 6 reactions	4-HYDROXYMANDELATE-OXY-RXN		NO sequence data found	0.5	
4-HYDROXYMANDELATE-DEGRADATION-PWY	 4-hydroxymandelate degradation with 6 reactions	HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN	4.1.1.7	Blast hit (4x)	2	
4-HYDROXYMANDELATE-DEGRADATION-PWY	 4-hydroxymandelate degradation with 6 reactions	HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	1.2.1.64	NO sequence data found	0.5	
4-HYDROXYMANDELATE-DEGRADATION-PWY	 4-hydroxymandelate degradation with 6 reactions	HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN	1.2.1.96	NO sequence data found	0.5	
4-HYDROXYMANDELATE-DEGRADATION-PWY	 4-hydroxymandelate degradation with 6 reactions	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	1.14.13.2	Blast hit (4x)	2	2/6 (33%)
4TOLCARBDEG-PWY	 4-toluenecarboxylate degradation with 3 reactions	TCCOL-RXN		NO sequence data found	0.5	
4TOLCARBDEG-PWY	 4-toluenecarboxylate degradation with 3 reactions	COLCYD-RXN	1.1.1.M5	NO sequence data found	0.5	
4TOLCARBDEG-PWY	 4-toluenecarboxylate degradation with 3 reactions	CYDTER-RXN		NO sequence data found	0.5	0/3 (0%)
6-HYDROXYCINEOLE-DEGRADATION-PWY	 1,8-cineole degradation with 4 reactions	6-OXOCINEOLE-DEHYDROGENASE-RXN	1.14.13.51	NO sequence data found	0.5	
6-HYDROXYCINEOLE-DEGRADATION-PWY	 1,8-cineole degradation with 4 reactions	6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN	1.1.1.241	NO sequence data found	0.5	
6-HYDROXYCINEOLE-DEGRADATION-PWY	 1,8-cineole degradation with 4 reactions	C04718-C060066-AUTOTRANSFORMATION-RXN		--> Spontaneous reaction <--	2	
6-HYDROXYCINEOLE-DEGRADATION-PWY	 1,8-cineole degradation with 4 reactions	RXN-4342	1.14.14.56	NO sequence data found	0.5	0/3 (0%)
ACETOACETATE-DEG-PWY	 acetoacetate degradation (to acetyl CoA) with 3 reactions	ACETYL-COA-ACETYLTRANSFER-RXN	2.3.1.16	Blast hit (16x)	2	
ACETOACETATE-DEG-PWY	 acetoacetate degradation (to acetyl CoA) with 3 reactions	ACETYL-COA-ACETYLTRANSFER-RXN	2.3.1.9	Blast hit (246x)	2	
ACETOACETATE-DEG-PWY	 acetoacetate degradation (to acetyl CoA) with 3 reactions	ACETOACETYL-COA-TRANSFER-RXN	2.8.3.9	NO blast hit	-2	2/3 (66%)
ADENOSYLHOMOCYSCAT-PWY	 L-methionine salvage from L-homocysteine with 3 reactions	2.1.1.5-RXN	2.1.1.5	NO sequence data found	0.5	
ADENOSYLHOMOCYSCAT-PWY	 L-methionine salvage from L-homocysteine with 3 reactions	MMUM-RXN	2.1.1.10	Blast hit (4x)	2	
ADENOSYLHOMOCYSCAT-PWY	 L-methionine salvage from L-homocysteine with 3 reactions	HOMOCYSMETB12-RXN	2.1.1.13	Blast hit (20x)	2	2/3 (66%)
AEROBACTINSYN-PWY	 aerobactin biosynthesis with 4 reactions	N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN	2.3.1.102	NO sequence data found	0.5	
AEROBACTINSYN-PWY	 aerobactin biosynthesis with 4 reactions	1.14.13.59-RXN	1.14.13.59	NO blast hit	-2	
AEROBACTINSYN-PWY	 aerobactin biosynthesis with 4 reactions	RXN-13054	6.3.2.38	NO sequence data found	0.5	
AEROBACTINSYN-PWY	 aerobactin biosynthesis with 4 reactions	RXN-13056	6.3.2.39	NO blast hit	-2	0/4 (0%)
ALACAT2-PWY	 L-alanine degradation II (to D-lactate) with 3 reactions	ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2	Blast hit (8x)	2	
ALACAT2-PWY	 L-alanine degradation II (to D-lactate) with 3 reactions	DLACTDEHYDROGNAD-RXN	1.1.1.28	Blast hit (8x)	2	
ALACAT2-PWY	 L-alanine degradation II (to D-lactate) with 3 reactions	GLUTAMATE-DEHYDROGENASE-RXN	1.4.1.2	Blast hit (4x)	2	3/3 (100%)
ALADEG-PWY	 L-alanine degradation I with 2 reactions	ALARACECAT-RXN	5.1.1.1	NO blast hit	-2	
ALADEG-PWY	 L-alanine degradation I with 2 reactions	DALADEHYDROG-RXN		NO sequence data found	0.5	0/2 (0%)
ALANINE-DEG3-PWY	 L-alanine degradation III with 1 reactions	ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2	Blast hit (8x)	2	1/1 (100%)
ALANINE-SYN2-PWY	 L-alanine biosynthesis II with 1 reactions	ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2	Blast hit (8x)	2	1/1 (100%)
ALANINE-VALINESYN-PWY	 L-alanine biosynthesis I with 2 reactions	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	2.6.1.42	Blast hit (6x)	2	
ALANINE-VALINESYN-PWY	 L-alanine biosynthesis I with 2 reactions	VALINE-PYRUVATE-AMINOTRANSFER-RXN	2.6.1.66	Blast hit (8x)	2	2/2 (100%)
ALKANEMONOX-PWY	 two-component alkanesulfonate monooxygenase with 2 reactions	RXN-12444	1.5.1.38	Blast hit (12x)	2	
ALKANEMONOX-PWY	 two-component alkanesulfonate monooxygenase with 2 reactions	RXN0-280	1.14.14.5	Blast hit (4x)	2	2/2 (100%)
AMMOXID-PWY	 ammonia oxidation I (aerobic) with 2 reactions	AMONITRO-RXN	1.14.99.39	Blast hit (20x)	2	
AMMOXID-PWY	 ammonia oxidation I (aerobic) with 2 reactions	HAONITRO-RXN	1.7.2.6	NO blast hit	-2	1/2 (50%)
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	6PFRUCTPHOS-RXN	2.7.1.11	NO good blast hit	1	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	F16ALDOLASE-RXN	4.1.2.13	Blast hit (3x)	2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	TRIOSEPISOMERIZATION-RXN	5.3.1.1	Blast hit (11x)	2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	GAPOXNPHOSPHN-RXN	1.2.1.12	Blast hit (8x)	2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	PHOSGLYPHOS-RXN	2.7.2.3	Blast hit (12x)	2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	2PGADEHYDRAT-RXN	4.2.1.11	Blast hit (12x)	2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	PEPDEPHOS-RXN	2.7.1.40	NO blast hit	-2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	RXN-15513	5.4.2.11	NO good blast hit	1	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	PGLUCISOM-RXN	5.3.1.9	NO good blast hit	1	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	GLUCOKIN-RXN	2.7.1.1	NO blast hit	-2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	GLUCOKIN-RXN	2.7.1.2	NO blast hit	-2	
ANAGLYCOLYSIS-PWY	 glycolysis III (from glucose) with 12 reactions	3PGAREARR-RXN	5.4.2.12	Blast hit (19x)	2	6/12 (50%)
ANAPHENOXI-PWY	 L-phenylalanine degradation II (anaerobic) with 5 reactions	PHENYLPYRUVATE-DECARBOXYLASE-RXN	4.1.1.43	NO sequence data found	0.5	
ANAPHENOXI-PWY	 L-phenylalanine degradation II (anaerobic) with 5 reactions	PHENDEHYD-RXN	1.2.1.39	NO sequence data found	0.5	
ANAPHENOXI-PWY	 L-phenylalanine degradation II (anaerobic) with 5 reactions	RXN-10814	2.6.1.1	Blast hit (8x)	2	
ANAPHENOXI-PWY	 L-phenylalanine degradation II (anaerobic) with 5 reactions	RXN-10814	2.6.1.57	Blast hit (8x)	2	
ANAPHENOXI-PWY	 L-phenylalanine degradation II (anaerobic) with 5 reactions	RXN-10814	2.6.1.27	NO sequence data found	0.5	2/5 (40%)
ARABCAT-PWY	 L-arabinose degradation I with 3 reactions	ARABISOM-RXN	5.3.1.4	NO blast hit	-2	
ARABCAT-PWY	 L-arabinose degradation I with 3 reactions	RIBULPEPIM-RXN	5.1.3.4	NO blast hit	-2	
ARABCAT-PWY	 L-arabinose degradation I with 3 reactions	RXN0-5116	2.7.1.16	NO good blast hit	1	0/3 (0%)
ARGASEDEG-PWY	 L-arginine degradation I (arginase pathway) with 3 reactions	ARGINASE-RXN	3.5.3.1	Blast hit (4x)	2	
