react_id	react_name	react_rev	react_single	react_de	lowbnd	uppbnd	obj_coef	gprRules	gpr
R00042	diphosphate:acetate phosphotransferase	FALSE	NA	NA	0	1000	0		
R00102	Glycine:ferricytochrome-c oxidoreductase (deaminating)	FALSE	NA	NA	0	1000	0		
R00103	glycine:NAD + oxidoreductase (deaminating)	FALSE	NA	NA	0	1000	0		
R00155	Glycine:2-oxoglutarate aminotransferase	FALSE	NA	NA	0	1000	0		
R00289		FALSE	NA	NA	0	1000	0		
R00315	3'-Phosphoadenylylsulfate nucleotidohydrolase	FALSE	NA	NA	0	1000	0		
R00374	Uridine triphosphate pyrophosphohydrolase	FALSE	NA	NA	0	1000	0		
R00471	L-Ornithine carboxy-lyase	TRUE	NA	NA	-1000	1000	0		
R00507	L-Phenylalanine ammonia-lyase	FALSE	NA	NA	0	1000	0		
R00515	L-Cysteine:oxygen oxidoreductase	FALSE	NA	NA	0	1000	0		
R00581	L-Cysteine hydrogen-sulfide-lyase (adding sulfite)	TRUE	NA	NA	-1000	1000	0		
R00589		TRUE	NA	NA	-1000	1000	0		
R00670	L-asparagine hydro-lyase (3-cyanoalanine-forming)	FALSE	NA	NA	0	1000	0		
R00671		FALSE	NA	NA	0	1000	0		
R00697	D-Glycerate-3-phosphate phosphohydrolase	FALSE	NA	NA	0	1000	0		
R00846	dCDP nucleotidohydrolase	FALSE	NA	NA	0	1000	0		
R00893	dCTP nucleotidohydrolase	FALSE	NA	NA	0	1000	0		
R00901	L-arogenate:2-oxoglutarate aminotransferase	TRUE	NA	NA	-1000	1000	0		
R00928	Succinyl-CoA:L-homoserine O-succinyltransferase	TRUE	NA	NA	-1000	1000	0		
R01182	geranylgeranyl reductase	FALSE	NA	NA	0	1000	0		
R01267	dTDP phosphohydrolase	TRUE	NA	NA	-1000	1000	0		
R01393	hydroxypyruvate carboxy-lyase (glycolaldehyde-forming)	FALSE	NA	NA	0	1000	0		
R01400	dUTP nucleotidohydrolase	TRUE	NA	NA	-1000	1000	0		
R01667		FALSE	NA	NA	0	1000	0		
R01731	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase	TRUE	NA	NA	-1000	1000	0	x[1]	Nmar_0546
R01777	O-Succinyl-L-homoserine succinate-lyase (adding cysteine)	FALSE	NA	NA	0	1000	0		
R02063	L-Aspartate:tRNAAsp ligase (AMP-forming)	TRUE	NA	NA	-1000	1000	0		
R02087	L-Asparagine:tRNA(Asn) ligase (AMP-forming)	TRUE	NA	NA	-1000	1000	0		
R02092	L-Glutamate:tRNA(Gln) ligase (AMP-forming)	FALSE	NA	NA	0	1000	0		
R02100	Glutaminyl-tRNA synthetase	FALSE	NA	NA	0	1000	0		
R08218	S-adenosyl-L-methionine:tRNA 5-methylaminomethyl-2-thiouridine methyltransferase	FALSE	NA	NA	0	1000	0	x[1]	Nmar_1511
