Reaction_id_in_ReactionPool	Comments	Equations	PPS_Shan
R00042	diphosphate:acetate phosphotransferase	1.2.3.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00102	Glycine:ferricytochrome-c oxidoreductase (deaminating)	3.2.2.5; 3.2.2.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00103	glycine:NAD + oxidoreductase (deaminating)	3.6.1.9; 3.6.1.22	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00155	Glycine:2-oxoglutarate aminotransferase	3.6.1.5; 3.6.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00289		2.7.7.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00315	3'-Phosphoadenylylsulfate nucleotidohydrolase	2.7.2.1; 2.7.2.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00374	Uridine triphosphate pyrophosphohydrolase	1.4.99.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00471	L-Ornithine carboxy-lyase	4.1.1.3; 4.1.2.14; 4.1.3.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00507	L-Phenylalanine ammonia-lyase	3.6.1.9; 3.6.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00515	L-Cysteine:oxygen oxidoreductase	3.6.1.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00581	L-Cysteine hydrogen-sulfide-lyase (adding sulfite)	1.4.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00589		5.1.1.10; 5.1.1.18	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00670	L-asparagine hydro-lyase (3-cyanoalanine-forming)	4.1.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00671		4.3.1.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
