Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	rxn	PS.	PSS.
rxn42821_Thiosulfate_Shan_SoxB	"cpd00001[c0],cpd36869[c0],cpd00048[c0],cpd00067[c0],cpd14548[c0]"	"H2O[c0],SoxY-Thiocysteine-Sulfate[c0],Sulfate[c0],H+[c0],C15812[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	SoxB_rxn42821	SoxB_rxn42821	TRUE	-1000	1000	RXN-11952 SoxB 3.1.6.20 soxB soxB		__
rxn12560_localblast_hypotau_transport_Shan	"cpd00067[e0],cpd00406[e0],cpd00067[c0],cpd00406[c0]"	"H+[e0],Hypotaurine[e0],H+[c0],Hypotaurine[c0]"	"-1,-1,1,1"	"2,2,1,1"	rxn12560	Hypotaurine transport via proton symport	TRUE	-1000	1000	Transporter - HT		__
rxn42436_2.6.1.77_hypotau_Shan	"cpd00020[c0],cpd00406[c0],cpd00035[c0],cpd34526[c0]"	"Pyruvate[c0],Hypotaurine[c0],L-Alanine[c0]2-sulfinoacetaldehyde[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn03924	taurine:pyruvate aminotransferase	TRUE	-1000	1000	TAURINE-AMINOTRANSFERASE-RXN 2.6.1.77 tpa		__
rxn44232_RXN.14908_3.13.1_Shan	"cpd00001[c0],cpd34526[c0],cpd00071[c0],cpd00081[c0],cpd00067[c0]"	"H2O[c0],2-sulfinoacetaldehyde[c0],Acetaldehyde[c0],Sulfite[c0],H+[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn44232	spontaneously_3.13.1	FALSE	0	1000	RXN-14908 3.13.1 Spontaneous reaction		__
rxn00506_RXN66.3_1.2.1.3_Adh_Shan	"cpd00001[c0],cpd00003[c0],cpd00071[c0],cpd00004[c0],cpd00029[c0],cpd00067[c0]"	"H2O[c0],NAD[c0],Acetaldehyde[c0],NADH[c0],Acetate[c0],H+[c0]"	"-1,-1,-1,1,1,2"	"1,1,1,1,1,1"	rxn00506	Acetaldehyde:NAD+ oxidoreductase	FALSE	0	1000	Adh		__
rxn10604_sulfite_transport_Shan	"cpd00067[e0],cpd00081[e0],cpd00067[c0],cpd00081[c0]"	"H+[e0],Sulfite[e0],H+[c0],Sulfite[c0]"	"-1,-1,1,1"	"2,2,1,1"	rxn10604	sulfate transport exchange via proton symport	TRUE	-1000	1000	Transporter - sulfite	not necessary	__
rxn14173_R247.RXN_NorAB_1.7.2_Shan	"cpd00001[c0],cpd00075[c0],cpd00109[c0],cpd00067[c0],cpd00110[c0],cpd00209[c0]"	"H2O[c0],Nitrite[c0],Cytochrome c3+[c0],H+[c0],Cytochrome c2+[c0],Nitrate[c0]"	"-1,-1,-2,2,2,1"	"1,1,1,1,1,1"	rxn14173	nitrite:(acceptor) oxidoreductase	TRUE	-1000	1000	R247-RXN nitrate reductase (cytochrome c) 1.7.2 norA norB norA norB norA norB	"Should be added to OTU1,4 and 7"	__
rxn27259_2.7.7.4_SULFATE.ADENYLYLTRANS.RXN_sat_Shan	"cpd00067[c0],cpd00002[c0],cpd00048[c0],cpd00012[c0],cpd00193[c0]"	"H+[c0],ATP[c0],Sulfate[c0],PPi[c0],APS[c0]"	"-1,-1,-1,1,1"	"1,1,1,1,1"	rxn27259	sulfate adenylyltransferase	TRUE	-1000	1000	2.7.7.4 SULFATE-ADENYLYLTRANS-RXN sat	"rxn27259, the original reaction equation includes errors."	__
rxn00378_c0	"cpd00001[c0],cpd00081[c0],cpd00109[c0],cpd00048[c0],cpd00067[c0],cpd00110[c0]"	"H2O[c0],Sulfite[c0],Cytochrome c3+[c0],Sulfate[c0],H+[c0],Cytochrome c2+[c0]"	"-1,-1,-2,1,3,2"	"1,1,1,1,1,1"	rxn00378	Sulfite:ferricytochrome-c oxidoreductase	FALSE	0	0	1.8.2.1 SULFITE-DEHYDROGENASE-RXN SorAB	"Deactivate, since the gene was absent in this OTU04"	__
rxn44357_1.8.5.6_RXN.15349_soeABC_mena7	"cpd00001[c0],cpd00081[c0],cpd11606[c0],cpd00048[c0],cpd00067[c0],cpd11451[c0]"	"H2O[c0],Sulfite[c0],Menaquinone 7[c0],Sulfate[c0],H+[c0],mql7[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn44357	sulfite dehydrogenase	FALSE	0	1000	1.8.5.6 RXN-15349 soeABC_mena7	choose 1 of 4	__
