		sol$fluxes	cpd00004[c0]
		met_name	NADH[c0]
rxn00069_c0	L-glutamate:NAD+ oxidoreductase (transaminating)	499.772889376743	1
rxn00083_c0	NADPH:NAD+ oxidoreductase	-1000	1
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)	-1000	1
rxn00248_c0	(S)-malate:NAD+ oxidoreductase	-1000	1
rxn00278_c0	L-Alanine:NAD+ oxidoreductase (deaminating)	498.067246114542	1
rxn00506_c0	Acetaldehyde:NAD+ oxidoreductase	1.13686837721616e-13	1
rxn00510_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)	-999.911786535577	1
rxn00512_c0	Glycolate:NAD+ oxidoreductase	1000	1
rxn00543_c0	ethanol:NAD+ oxidoreductase	-1000	1
rxn00611_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase	-0.0507156836661086	1
rxn00653_c0	3-aminopropanal:NAD+ oxidoreductase	-1000	-1
rxn00684_c0	5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase	-1000	1
rxn00719_c0	5,6-Dihydrouracil:NAD+ oxidoreductase	-1000	1
rxn00763_c0	Glycerol:NAD+ oxidoreductase	1000	1
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	-7.74867318028794	1
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	-1000	1
rxn00834_c0	IMP:NAD+ oxidoreductase	0.0673185223014343	1
rxn00863_c0	L-histidinal:NAD+ oxidoreductase	0.024353410423756	1
rxn00957_c0	4-hydroxybenzaldehyde:NAD+ oxidoreductase	1000	1
rxn00979_c0	glycolaldehyde:NAD+ oxidoreductase	0.00320628555800795	1
rxn00997_c0	Phenyllactate:NAD+ oxidoreductase	990.889269003089	1
rxn01011_c0	D-Glycerate:NAD+ 2-oxidoreductase	1000	1
rxn01027_c0	5,6-Dihydrothymine:NAD+ oxidoreductase	-1000	1
rxn01032_c0	Benzaldehyde:NAD+ oxidoreductase	1000	1
rxn01041_c0	D-xylose:NAD+ 1-oxidoreductase	1000	1
rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)	-1000	1
rxn01108_c0	beta-D-Glucose:NAD+ 1-oxoreductase	1000	1
rxn01207_c0	4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)	0.0225403038515791	1
rxn01241_c0	Dihydrolipoamide:NAD+ oxidoreductase	-0.323954182318289	1
rxn01268_c0	Prephenate:NAD+ oxidoreductase(decarboxylating)	0.0354477418388797	1
rxn01276_c0	D-Gluconate:NAD+ 5-oxidoreductase	1000	1
rxn01290_c0	L-Arabitol:NAD+ 1-oxidoreductase	-1000	1
rxn01301_c0	L-Homoserine:NAD+ oxidoreductase	-0.180472218679945	1
rxn01331_c0	D-erythrose 4-phosphate:NAD+ oxidoreductase	0.00106876185270721	1
rxn01337_c0	3beta-Hydroxyandrost-5-en-17-one:NAD+ 3-oxidoreductase/delta5-delta-4 isomerase	1000	1
rxn01361_c0	(S)-dihydroorotate:NAD+ oxidoreductase	0.0847362082343689	1
rxn01363_c0	L-quinate:NAD+ 3-oxidoreductase	1000	1
rxn01451_c0	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	999.955039112662	1
rxn01474_c0	6-Phospho-2-dehydro-D-gluconate:NAD+ 2-oxidoreductase	-1000	1
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	999.925316208034	1
rxn01582_c0	20alpha-Hydroxy-4-pregnen-3-one:NAD+ 20-oxidoreductase	1000	-1
rxn01586_c0	Pregnenolone:NAD+ 3-oxidoreductase	-1000	1
rxn01615_c0	Propane-1,2-diol:NAD+ oxidoreductase	1000	1
rxn01685_c0	Acetoin:NAD+ oxidoreductase	1000	1
rxn01692_c0	Estradiol-17beta:NAD+ 17-oxidoreductase	1000	1
rxn01809_c0	Testosterone delta5-delat4-isomerase	1000	-1
rxn01835_c0	Lactaldehyde:NAD+ 1-oxidoreductase	-1000	1
rxn01840_c0	Phenylacetaldehyde:NAD+ oxidoreductase	-1000	1
rxn01902_c0	Phenylethylalcohol:NAD+ oxidoreductase	-1000	1
rxn01937_c0	Indole-3-acetaldehyde:NAD+ oxidoreductase	1000	1
rxn01938_c0	indole-3-ethanol:NAD+ oxidoreductase	1000	1
rxn01943_c0	4-Hydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	1
