		sol$fluxes	cpd00002[c0]	cpd00002[e0]
		met_name	ATP[c0]	ATP[e0]
rxn00078_c0	ATP:NADH 2'-phosphotransferase	0.00122947150849805	-1	0
rxn00097_c0	ATP:AMP phosphotransferase	0.705291856276517	-1	0
rxn00100_c0	ATP:dephospho-CoA 3'-phosphotransferase	0.0024589430170181	-1	0
rxn00114_c0	ATP:carbamate phosphotransferase	0.184948388940143	-1	0
rxn00117_c0	ATP:UDP phosphotransferase	0.124177900363748	-1	0
rxn00119_c0	ATP:UMP phosphotransferase	0.106075308557365	-1	0
rxn00122_c0	ATP:FMN adenylyltransferase	0.00122947150850905	-1	0
rxn00124_c0	ATP:pyridoxal 5'-phosphotransferase	1.7539572225167e-14	-1	0
rxn00126_c0	ATP:L-methionine S-adenosyltransferase	0.003688414525494	-1	0
rxn00134_c0	ATP:adenosine 5'-phosphotransferase	0.002458943016996	-1	0
rxn00138_c0	deamido-NAD+:ammonia ligase (AMP-forming)	0.00245894301701077	-1	0
rxn00172_c0	Acetate:CoA ligase (ADP-forming)	1000	-1	0
rxn00179_c0	ATP:L-glutamate 5-phosphotransferase	0.15529868484191	-1	0
rxn00225_c0	ATP:acetate phosphotransferase	-999.944725951524	-1	0
rxn00237_c0	ATP:GDP phosphotransferase	-999.833408410605	-1	0
rxn00239_c0	ATP:GMP phosphotransferase	0.0786706759801064	-1	0
rxn00247_c0	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	1.60868255276674	-1	0
rxn00285_c0	Succinate:CoA ligase (ADP-forming)	1000	-1	0
rxn00337_c0	ATP:L-aspartate 4-phosphotransferase	0.213137947746759	-1	0
rxn00340_c0	L-aspartate:ammonia ligase (AMP-forming)	0.0712837085089664	-1	0
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	0.001229471508498	-1	0
rxn00364_c0	ATP:CMP phosphotransferase	0.101534727334824	-1	0
rxn00392_c0	ATP:riboflavin 5'-phosphotransferase	0.00122947150851554	-1	0
rxn00409_c0	ATP:CDP phosphotransferase	0.0935952929313544	-1	0
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0472900011895329	-1	0
rxn00438_c0	ATP:thiamin-phosphate phosphotransferase	0.00122947150849801	-1	0
rxn00515_c0	ATP:IDP phosphotransferase	-1000	-1	0
rxn00533_c0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)	0.356739530446594	-1	0
rxn00615_c0	ATP:glycerol 3-phosphotransferase	0.00972363299724083	-1	0
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)	0.001229471508498	-1	0
rxn00669_c0	Propanoate:CoA ligase (ADP-forming)	-95.1256640077177	-1	0
rxn00690_c0	Formate:tetrahydrofolate ligase (ADP-forming)	0.0135241865935001	-1	0
rxn00770_c0	ATP:D-ribose-5-phosphate diphosphotransferase	0.052537221058742	-1	0
rxn00789_c0	1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase	-0.028015431291692	1	0
rxn00839_c0	ATP:dADP phosphotransferase	0.00768937347743304	-1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0774412044716164	-1	0
rxn01100_c0	ATP:3-phospho-D-glycerate 1-phosphotransferase	208.677812113707	-1	0
rxn01127_c0	ATP:dAMP phosphotransferase	1.13686837721616e-13	-1	0
