		sol$fluxes	cpd00005[c0]
		met_name	NADPH[c0]
rxn00078_c0	ATP:NADH 2'-phosphotransferase	0.00122947150849805	1
rxn00083_c0	NADPH:NAD+ oxidoreductase	-1000	-1
rxn00086_c0	glutathione:NADP+ oxidoreductase	-1000	1
rxn00184_c0	L-Glutamate:NADP+ oxidoreductase (deaminating)	1000	1
rxn00218_c0	D-Glucose:NADP+ 1-oxidoreductase	1000	1
rxn00249_c0	(S)-malate:NADP+ oxidoreductase	1000	1
rxn00324_c0	glycolate:NADP+ oxidoreductase	0.00368841452552715	1
rxn00532_c0	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)	-0.0024589430170181	1
rxn00536_c0	Ethanol:NADP+ oxidoreductase	1000	1
rxn00604_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase	999.978506695597	1
rxn00686_c0	5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase	-1000	1
rxn00720_c0	5,6-Dihydrouracil:NADP+ oxidoreductase	-1000	1
rxn00765_c0	Glycerol:NADP+ oxidoreductase	1000	1
rxn00907_c0	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	0.30506348669428	1
rxn00945_c0	hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase	-0.025929687992857	1
rxn00958_c0	4-Hydroxybenzaldehyde:NADP+ oxidoreductase	-1000	1
rxn00962_c0	4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating)	6.52836012188355e-14	-1
rxn00998_c0	Phenyllactate:NADP+ oxidoreductase	-1000	1
rxn01013_c0	D-Glycerate:NADP+ 2-oxidoreductase	-1000	1
rxn01028_c0	5,6-Dihydrothymine:NADP+ oxidoreductase	-1000	1
rxn01033_c0	benzaldehyde:NADP+ oxidoreductase	-1000	1
rxn01043_c0	xylitol:NADP+ oxidoreductase	1000	1
rxn01269_c0	Prephenate:NADP+ oxidoreductase(decarboxylating)	0.0407780166579677	1
rxn01278_c0	D-Gluconate:NADP+ 5-oxidoreductase	-1000	1
rxn01291_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1
rxn01324_c0	Tetrahydrobiopterin:NADP+ oxidoreductase	-1000	1
rxn01339_c0	3beta-Hydroxyandrost-5-en-17-one:NADP+ 3-oxidoreductase	-1000	1
rxn01387_c0	Isocitrate:NADP+ oxidoreductase	1000	1
rxn01475_c0	6-phospho-D-gluconate:NADP+ 2-oxidoreductase	-1000	1
rxn01584_c0	20alpha-Hydroxy-4-pregnen-3-one:NADP+ 20-oxidoreductase	-1000	-1
rxn01587_c0	Pregnenolone:NADP+ 3-oxidoreductase	1000	1
rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	-0.213137947746759	1
rxn01663_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase	999.89852188221	1
rxn01693_c0	Estradiol-17beta:NADP+ 17-oxidoreductase	-1000	1
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase	999.883938577738	1
rxn01790_c0	(R)-Pantoate:NADP+ 2-oxidoreductase	-0.0024589430170181	1
rxn01810_c0	Testosterone delta5-delat4-isomerase	-1000	-1
rxn01841_c0	Aldehyde:NADP+ oxidoreductase	-1000	1
rxn01879_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	-1000	1
rxn01887_c0	coniferyl alcohol:NADP+ oxidoreductase	-1000	1
rxn01939_c0	indole-3-ethanol:NADP+ oxidoreductase	908.428366077399	1
rxn01944_c0	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	1
