Key	Type	Reactions	MSID
1.1.1	EC	PWY-5392_reductive TCA cycle II	rxn13226
1.1.1.37	EC	P23-PWY_reductive TCA cycle I	rxn00248
1.1.1.37	EC	PWY-5392_reductive TCA cycle II	rxn00248
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn00198
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn00199
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn01387
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn05794
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn15022
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn15023
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn15278
1.1.1.42	EC	P23-PWY_reductive TCA cycle I	rxn15279
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn00565
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn14050
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn15776
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn23430
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn24663
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn33681
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn00565
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn14050
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn15776
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn23430
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn24663
1.13.11.18	EC	PWY-7927_sulfide oxidation IV (mitochondria)	rxn33681
1.13.11.18	EC	SULFUROX-PWY_sulfur oxidation I (aerobic)	rxn00565
1.13.11.18	EC	SULFUROX-PWY_sulfur oxidation I (aerobic)	rxn14050
1.13.11.18	EC	SULFUROX-PWY_sulfur oxidation I (aerobic)	rxn15776
1.13.11.18	EC	SULFUROX-PWY_sulfur oxidation I (aerobic)	rxn23430
