Key	Type	Reactions	EC	MSID
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	ko_to_ms	rxn00178
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	2.3.1.9	rxn00178
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	2.3.1.9	rxn00874
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	2.3.1.9	rxn23003
R00833	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	ko_to_ms	rxn00602
R00833	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	5.4.99.2	rxn00602
R00919	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	ko_to_ms	rxn00668
R00919	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.3.1.84	rxn00668
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	ko_to_ms	rxn01355
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	6.4.1.3	rxn01355
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	6.4.1.3	rxn14157
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	6.4.1.3	rxn26656
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	ko_to_ms	rxn01451
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn01451
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03239
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03242
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03244
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03246
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03249
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03287
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03289
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn03860
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn04750
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn06037
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn06777
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn07680
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn07684
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn07688
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn07883
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn08700
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn15495
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn15510
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn20473
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn21061
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn21065
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn21066
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn21572
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn23121
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn23125
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn23153
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn27454
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn30548
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn31677
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn31684
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn31720
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	1.1.1.35	rxn32645
