Key	Type	Reactions	MetaCyc	EC	MSID	id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	is_copy_of	gapseq.status
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn00178	rxn00178	R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase	(2) cpd00022[0] <=> (1) cpd00010[0] + (1) cpd00279[0]	-2:cpd00022:0:0:"Acetyl-CoA";1:cpd00010:0:0:"CoA";1:cpd00279:0:0:"Acetoacetyl-CoA"	0	(2) cpd00022[0] <=> (1) cpd00010[0] + (1) cpd00279[0]	(2) Acetyl-CoA[0] <=> (1) CoA[0] + (1) Acetoacetyl-CoA[0]	=	=					7.06	1.09	cpd00010;cpd00022;cpd00279	OK	0	rxn19031;rxn31209;rxn31210			approved
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		2.3.1.9	rxn00178	rxn00178	R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase	(2) cpd00022[0] <=> (1) cpd00010[0] + (1) cpd00279[0]	-2:cpd00022:0:0:"Acetyl-CoA";1:cpd00010:0:0:"CoA";1:cpd00279:0:0:"Acetoacetyl-CoA"	0	(2) cpd00022[0] <=> (1) cpd00010[0] + (1) cpd00279[0]	(2) Acetyl-CoA[0] <=> (1) CoA[0] + (1) Acetoacetyl-CoA[0]	=	=					7.06	1.09	cpd00010;cpd00022;cpd00279	OK	0	rxn19031;rxn31209;rxn31210			approved
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		2.3.1.9	rxn00874	rxn00874	R01177	butanoyl-CoA:acetyl-CoA C-butanoyltransferase	(1) cpd00022[0] + (1) cpd00120[0] <=> (1) cpd00010[0] + (1) cpd03123[0]	-1:cpd00022:0:0:"Acetyl-CoA";-1:cpd00120:0:0:"Butyryl-CoA";1:cpd00010:0:0:"CoA";1:cpd03123:0:0:"3-Oxohexanoyl-CoA"	0	(1) cpd00022[0] + (1) cpd00120[0] <=> (1) cpd00010[0] + (1) cpd03123[0]	(1) Acetyl-CoA[0] + (1) Butyryl-CoA[0] <=> (1) CoA[0] + (1) 3-Oxohexanoyl-CoA[0]	=	=					7.06	1.09	cpd00010;cpd00022;cpd00120;cpd03123	OK	0	rxn19968;rxn19980			approved
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		2.3.1.9	rxn23003	rxn23003	RXN-12561.c	RXN-12561.c	(1) cpd00022[0] + (1) cpd00086[0] <=> (1) cpd00010[0] + (1) cpd23921[0]	-1:cpd00022:0:0:"Acetyl-CoA";-1:cpd00086:0:0:"Propionyl-CoA";1:cpd00010:0:0:"CoA";1:cpd23921:0:0:"beta-ketovaleryl-CoA"	0	(1) cpd00022[0] + (1) cpd00086[0] <=> (1) cpd00010[0] + (1) cpd23921[0]	(1) Acetyl-CoA[0] + (1) Propionyl-CoA[0] <=> (1) CoA[0] + (1) beta-ketovaleryl-CoA[0]	=	=					7.06	1.09	cpd00010;cpd00022;cpd00086;cpd23921	OK	0				not.assessed
R00833	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn00602	rxn00602	R00833	(R)-Methylmalonyl-CoA CoA-carbonylmutase	(1) cpd00891[0] <=> (1) cpd00078[0]	-1:cpd00891:0:0:"L-methylmalonyl-CoA";1:cpd00078:0:0:"Succinyl-CoA"	0	(1) cpd00891[0] <=> (1) cpd00078[0]	(1) L-methylmalonyl-CoA[0] <=> (1) Succinyl-CoA[0]	=	=					1.81	0.26	cpd00078;cpd00891	OK	0	rxn20202			approved
R00833	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		5.4.99.2	rxn00602	rxn00602	R00833	(R)-Methylmalonyl-CoA CoA-carbonylmutase	(1) cpd00891[0] <=> (1) cpd00078[0]	-1:cpd00891:0:0:"L-methylmalonyl-CoA";1:cpd00078:0:0:"Succinyl-CoA"	0	(1) cpd00891[0] <=> (1) cpd00078[0]	(1) L-methylmalonyl-CoA[0] <=> (1) Succinyl-CoA[0]	=	=					1.81	0.26	cpd00078;cpd00891	OK	0	rxn20202			approved
R00919	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn00668	rxn00668	R00919	propanoyl-CoA:NADP+ 2-oxidoreductase	(1) cpd00005[0] + (1) cpd00663[0] <=> (1) cpd00006[0] + (1) cpd00086[0]	-1:cpd00005:0:0:"NADPH";-1:cpd00663:0:0:"Acrylyl-CoA";1:cpd00006:0:0:"NADP";1:cpd00086:0:0:"Propionyl-CoA"	0	(1) cpd00005[0] + (1) cpd00663[0] => (1) cpd00006[0] + (1) cpd00086[0]	(1) NADPH[0] + (1) Acrylyl-CoA[0] => (1) NADP[0] + (1) Propionyl-CoA[0]	>	<					15.89	1.15	cpd00005;cpd00006;cpd00086;cpd00663	OK	0	rxn35427	HB		corrected
R00919	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.3.1.84	rxn00668	rxn00668	R00919	propanoyl-CoA:NADP+ 2-oxidoreductase	(1) cpd00005[0] + (1) cpd00663[0] <=> (1) cpd00006[0] + (1) cpd00086[0]	-1:cpd00005:0:0:"NADPH";-1:cpd00663:0:0:"Acrylyl-CoA";1:cpd00006:0:0:"NADP";1:cpd00086:0:0:"Propionyl-CoA"	0	(1) cpd00005[0] + (1) cpd00663[0] => (1) cpd00006[0] + (1) cpd00086[0]	(1) NADPH[0] + (1) Acrylyl-CoA[0] => (1) NADP[0] + (1) Propionyl-CoA[0]	>	<					15.89	1.15	cpd00005;cpd00006;cpd00086;cpd00663	OK	0	rxn35427	HB		corrected
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn01355	rxn01355	R01859	Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	(1) cpd00002[0] + (1) cpd00086[0] + (1) cpd00242[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00519[0]	-1:cpd00002:0:0:"ATP";-1:cpd00086:0:0:"Propionyl-CoA";-1:cpd00242:0:0:"H2CO3";1:cpd00008:0:0:"ADP";1:cpd00009:0:0:"Phosphate";1:cpd00067:0:0:"H+";1:cpd00519:0:0:"D-methylmalonyl-CoA"	0	(1) cpd00002[0] + (1) cpd00086[0] + (1) cpd00242[0] => (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00519[0]	(1) ATP[0] + (1) Propionyl-CoA[0] + (1) H2CO3[0] => (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) D-methylmalonyl-CoA[0]	>	>					-2.88	0.75	cpd00002;cpd00008;cpd00009;cpd00067;cpd00086;cpd00242;cpd00519	OK	0	rxn20619			approved
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		6.4.1.3	rxn01355	rxn01355	R01859	Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	(1) cpd00002[0] + (1) cpd00086[0] + (1) cpd00242[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00519[0]	-1:cpd00002:0:0:"ATP";-1:cpd00086:0:0:"Propionyl-CoA";-1:cpd00242:0:0:"H2CO3";1:cpd00008:0:0:"ADP";1:cpd00009:0:0:"Phosphate";1:cpd00067:0:0:"H+";1:cpd00519:0:0:"D-methylmalonyl-CoA"	0	(1) cpd00002[0] + (1) cpd00086[0] + (1) cpd00242[0] => (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00519[0]	(1) ATP[0] + (1) Propionyl-CoA[0] + (1) H2CO3[0] => (1) ADP[0] + (1) Phosphate[0] + (1) H+[0] + (1) D-methylmalonyl-CoA[0]	>	>					-2.88	0.75	cpd00002;cpd00008;cpd00009;cpd00067;cpd00086;cpd00242;cpd00519	OK	0	rxn20619			approved
