Key	Type	Reactions	MetaCyc	EC	MSID	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn00178	rxn00178_Shan	"cpd00022[c0],cpd00010[c0],cpd00279[c0]"	"Acetyl-CoA[c0],CoA[c0],Acetoacetyl-CoA[c0]"	"-2,1,1"	"1,1,1"	rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase	TRUE	-1000	1000
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		2.3.1.9	rxn00178	rxn00178_Shan	"cpd00022[c0],cpd00010[c0],cpd00279[c0]"	"Acetyl-CoA[c0],CoA[c0],Acetoacetyl-CoA[c0]"	"-2,1,1"	"1,1,1"	rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase	TRUE	-1000	1000
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		2.3.1.9	rxn00874	rxn00874_Shan	"cpd00022[c0],cpd00120[c0],cpd00010[c0],cpd03123[c0]"	"Acetyl-CoA[c0],Butyryl-CoA[c0],CoA[c0],3-Oxohexanoyl-CoA[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00874	butanoyl-CoA:acetyl-CoA C-butanoyltransferase	TRUE	-1000	1000
R00238	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		2.3.1.9	rxn23003	rxn23003_Shan	"cpd00022[c0],cpd00086[c0],cpd00010[c0],cpd23921[c0]"	"Acetyl-CoA[c0],Propionyl-CoA[c0],CoA[c0],beta-ketovaleryl-CoA[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn23003	RXN-12561.c	TRUE	-1000	1000
R00833	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn00602	rxn00602_Shan	"cpd00891[c0],cpd00078[c0]"	"L-methylmalonyl-CoA[c0],Succinyl-CoA[c0]"	"-1,1"	"1,1"	rxn00602	(R)-Methylmalonyl-CoA CoA-carbonylmutase	TRUE	-1000	1000
R00833	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		5.4.99.2	rxn00602	rxn00602_Shan	"cpd00891[c0],cpd00078[c0]"	"L-methylmalonyl-CoA[c0],Succinyl-CoA[c0]"	"-1,1"	"1,1"	rxn00602	(R)-Methylmalonyl-CoA CoA-carbonylmutase	TRUE	-1000	1000
R00919	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn00668	rxn00668_Shan	"cpd00005[c0],cpd00663[c0],cpd00006[c0],cpd00086[c0]"	"NADPH[c0],Acrylyl-CoA[c0],NADP[c0],Propionyl-CoA[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00668	propanoyl-CoA:NADP+ 2-oxidoreductase	FALSE	0	1000
R00919	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.3.1.84	rxn00668	rxn00668_Shan	"cpd00005[c0],cpd00663[c0],cpd00006[c0],cpd00086[c0]"	"NADPH[c0],Acrylyl-CoA[c0],NADP[c0],Propionyl-CoA[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00668	propanoyl-CoA:NADP+ 2-oxidoreductase	FALSE	0	1000
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn01355	rxn01355_Shan	"cpd00002[c0],cpd00086[c0],cpd00242[c0],cpd00008[c0],cpd00009[c0],cpd00067[c0],cpd00519[c0]"	"ATP[c0],Propionyl-CoA[c0],H2CO3[c0],ADP[c0],Phosphate[c0],H+[c0],D-methylmalonyl-CoA[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn01355	Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	FALSE	0	1000
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		6.4.1.3	rxn01355	rxn01355_Shan	"cpd00002[c0],cpd00086[c0],cpd00242[c0],cpd00008[c0],cpd00009[c0],cpd00067[c0],cpd00519[c0]"	"ATP[c0],Propionyl-CoA[c0],H2CO3[c0],ADP[c0],Phosphate[c0],H+[c0],D-methylmalonyl-CoA[c0]"	"-1,-1,-1,1,1,1,1"	"1,1,1,1,1,1,1"	rxn01355	Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)	FALSE	0	1000
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		6.4.1.3	rxn14157	rxn14157_Shan	"cpd00002[c0],cpd00067[c0],cpd00120[c0],cpd00242[c0],cpd00008[c0],cpd00009[c0],cpd18009[c0]"	"ATP[c0],H+[c0],Butyryl-CoA[c0],H2CO3[c0],ADP[c0],Phosphate[c0],Ethylmalonyl-CoA[c0]"	"-1,-4,-1,-1,1,1,1"	"1,1,1,1,1,1,1"	rxn14157	butanoyl-CoA:carbon-dioxide ligase (ADP-forming)	FALSE	0	1000
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		6.4.1.3	rxn26656	rxn26656_Shan	"cpd00011[c0],cpd26581[c0],cpd00067[c0],cpd26582[c0]"	"CO2[c0],cerotoyl-CoA[c0],H+[c0],2-carboxyl-cerotoyl-CoA[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn26656	cerotoyl-CoA carboxylase	TRUE	-1000	0
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn01451	rxn01451_Shan	"cpd00003[c0],cpd00842[c0],cpd00004[c0],cpd00067[c0],cpd00279[c0]"	"NAD[c0],(S)-3-Hydroxybutyryl-CoA[c0],NADH[c0],H+[c0],Acetoacetyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn01451	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn01451	rxn01451_Shan	"cpd00003[c0],cpd00842[c0],cpd00004[c0],cpd00067[c0],cpd00279[c0]"	"NAD[c0],(S)-3-Hydroxybutyryl-CoA[c0],NADH[c0],H+[c0],Acetoacetyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn01451	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03239	rxn03239_Shan	"cpd00003[c0],cpd03113[c0],cpd00004[c0],cpd00067[c0],cpd03114[c0]"	"NAD[c0],(S)-3-Hydroxyhexadecanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxopalmitoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03239	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03242	rxn03242_Shan	"cpd00003[c0],cpd03116[c0],cpd00004[c0],cpd00067[c0],cpd03117[c0]"	"NAD[c0],(S)-3-Hydroxydodecanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxododecanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03242	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03244	rxn03244_Shan	"cpd00003[c0],cpd03118[c0],cpd00004[c0],cpd00067[c0],cpd03119[c0]"	"NAD[c0],(S)-Hydroxydecanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxodecanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03244	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03246	rxn03246_Shan	"cpd00003[c0],cpd03120[c0],cpd00004[c0],cpd00067[c0],cpd03121[c0]"	"NAD[c0],(S)-Hydroxyoctanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxooctanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03246	(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
