Key	Type	Reactions	MetaCyc	EC	MSID
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn03371
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn05903
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn11934
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn13994
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn19074
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn27687
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	2.8.1.3	rxn06060
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	2.8.1.3	rxn24684
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.5.4	rxn20673
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn00379
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn03373
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn27259
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn34004
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn00379
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn03373
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn27259
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn34004
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn00379
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn03373
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn27259
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn34004
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.2.1.11	rxn01643
