Key	Type	Reactions	MetaCyc	EC	MSID
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn14010
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn16361
1.14.99.39	EC	AMMOXID-PWY_ammonia oxidation I (aerobic)	NA	NA	rxn19165
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoA	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoB	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoC	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoC	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoC	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoG	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoG	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoG	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoI	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoI	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoI	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoJ	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoJ	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoJ	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoK	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoK	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoK	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoL	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoL	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoL	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoM	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoM	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoM	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
nuoN	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn06108
nuoN	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn20240
nuoN	gene	Complex I_Ca.Nitrospira_dfluvii	RXN0-5330	1.6.5.9	rxn37813
1.6.5.9	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn06108
1.6.5.9	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn20240
