target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00102_c0	carbonate hydro-lyase (carbon-dioxide-forming)	-4.91218054672049	rxn00102_Shan	"cpd00067[c0],cpd00242[c0],cpd00001[c0],cpd00011[c0]"	"H+[c0],H2CO3[c0],H2O[c0],CO2[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	TRUE	-1000	1000	rxn00102_c0		rxn00102	Carbonic anhydrase	4.2.1.1	UniRef90_P9WPJ8	28.477	0.073	32	72	STY1_bin_1_NODE_33_length_65705_cov_20.7475	35115	35543	seed.pwy581	bad_blast	threshold	NA	0	NA	9	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.1;http://identifiers.org/seed.reaction:rxn00102;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00102;http://identifiers.org/kegg.reaction:R00132;http://identifiers.org/kegg.reaction:R10092;http://identifiers.org/bigg.reaction:HCO3E;http://identifiers.org/bigg.reaction:HCO3E_1;http://identifiers.org/bigg.reaction:HCO3Ee;http://identifiers.org/bigg.reaction:HCO3Ehi;http://identifiers.org/bigg.reaction:HCO3Em;http://identifiers.org/bigg.reaction:HCO3Em_1;http://identifiers.org/bigg.reaction:HCO3En;http://identifiers.org/biocyc:META:CARBODEHYDRAT-RXN;http://identifiers.org/biocyc:META:RXN0-5224;http://identifiers.org/metanetx.reaction:MNXR100482	MNXR100482	rxn00102	R00132;R10092	HCO3E;HCO3E_1;HCO3Ee;HCO3Ehi;HCO3Em;HCO3Em_1;HCO3En	CARBODEHYDRAT-RXN;RXN0-5224	seed.pwy581	Zinc regulated enzymes	true	83	0	0	0	rxn01465 rxn00299 rxn00299 rxn02834 rxn00029
rxn00114_c0	ATP:carbamate phosphotransferase	1000	rxn00114_Shan	"cpd00002[c0],cpd00011[c0],cpd00013[c0],cpd00008[c0],cpd00067[c0],cpd00146[c0]"	"ATP[c0],CO2[c0],NH3[c0],ADP[c0],H+[c0],Carbamoylphosphate[c0]"	"-1,-1,-1,1,2,1"	"1,1,1,1,1,1"	rxn00114	ATP:carbamate phosphotransferase	TRUE	-1000	1000	rxn00114_c0		rxn00114	Carbamate kinase	2.7.2.2	UniRef90_P63555	22.5	0.065	33.1	74	STY4_bin_1_NODE_277_length_23739_cov_490.005	1419	2000	seed.pwy648	bad_blast	threshold	NA	0	NA	9	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.7.2.2;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00114;http://identifiers.org/kegg.reaction:R00150;http://identifiers.org/bigg.reaction:CBMKr;http://identifiers.org/biocyc:META:CARBAMATE-KINASE-RXN;http://identifiers.org/metanetx.reaction:MNXR96482	MNXR96482	rxn00114	R00150	CBMKr	CARBAMATE-KINASE-RXN	seed.pwy648	MLST	true	85	0	0	0	rxn00178 rxn00615 rxn00239 rxn00173 rxn01740 rxn00747
rxn00490_c0	L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)	0.0476244470506283	rxn00490_Shan	"cpd00067[c0],cpd00616[c0],cpd00001[c0],cpd00011[c0],cpd00066[c0]"	"H+[c0],Pretyrosine[c0],H2O[c0],CO2[c0],L-Phenylalanine[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn00490	L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)	FALSE	0	1000	rxn00490_c0	STY1_bin_1_NODE_289_length_18488_cov_19.001_8024:9094 | STY2_bin_2_NODE_113_length_31434_cov_32.1565_8024:9094 | STY3_bin_1_NODE_229_length_18616_cov_134.256_8131:9201 | STY4_bin_1_NODE_136_length_33273_cov_501.448_8528:9598	PREPHENATEDEHYDRAT-RXN	prephenate dehydratase	4.2.1.51	UniRef90_A1TGX7	39.929	1.33e-39	146	90	STY2_bin_2_NODE_113_length_31434_cov_32.1565	8291	9082	|PHESYN|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.2.1.51;http://identifiers.org/seed.reaction:rxn00490;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00490;http://identifiers.org/kegg.reaction:R00691;http://identifiers.org/bigg.reaction:AROH;http://identifiers.org/biocyc:META:CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN;http://identifiers.org/metanetx.reaction:MNXR95958	MNXR95958	rxn00490	R00691	AROH	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN	|PHESYN|	L-phenylalanine biosynthesis I	true	100	0	1	1	PREPHENATEDEHYDRAT-RXN CHORISMATEMUT-RXN RXN-10814 RXN-10814 RXN-10814
rxn00599_c0	succinyl-CoA:glycine C-succinyltransferase (decarboxylating)	0.0171001896437554	rxn00599_Shan	"cpd00033[c0],cpd00067[c0],cpd00078[c0],cpd00010[c0],cpd00011[c0],cpd00338[c0]"	"Glycine[c0],H+[c0],Succinyl-CoA[c0],CoA[c0],CO2[c0],5-Aminolevulinate[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn00599	succinyl-CoA:glycine C-succinyltransferase (decarboxylating)	FALSE	0	1000	rxn00599_c0	STY1_bin_1_NODE_286_length_18708_cov_21.7828_316:1491 | STY2_bin_2_NODE_1168_length_9810_cov_36.405_9543:8368 | STY3_bin_1_NODE_746_length_10671_cov_129.366_230:1405 | STY4_bin_1_NODE_452_length_17547_cov_527.773_16693:15518	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	5-aminolevulinate synthase	2.3.1.37	UniRef90_P08080	60.969	9.71e-153	476	97	STY3_bin_1_NODE_746_length_10671_cov_129.366	230	1405	|PWY-5189|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.3.1.37;http://identifiers.org/seed.reaction:rxn00599;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00599;http://identifiers.org/kegg.reaction:R00830;http://identifiers.org/bigg.reaction:ALASm;http://identifiers.org/biocyc:META:5-AMINOLEVULINIC-ACID-SYNTHASE-RXN;http://identifiers.org/metanetx.reaction:MNXR95695	MNXR95695	rxn00599	R00830	ALASm	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	|PWY-5189|	tetrapyrrole biosynthesis II (from glycine)	false	75	0	0	0	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN PORPHOBILSYNTH-RXN OHMETHYLBILANESYN-RXN
rxn00710_c0	orotidine-5'-phosphate carboxy-lyase (UMP-forming)	0.0847362082343689	rxn00710_Shan	"cpd00067[c0],cpd00810[c0],cpd00011[c0],cpd00091[c0]"	"H+[c0],Orotidylic acid[c0],CO2[c0],UMP[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00710	orotidine-5'-phosphate carboxy-lyase (UMP-forming)	FALSE	0	1000	rxn00710_c0	STY1_bin_1_NODE_680_length_11896_cov_19.1536_2435:1818 | STY2_bin_2_NODE_820_length_11351_cov_32.12_1819:1202 | STY3_bin_1_NODE_1076_length_9341_cov_141.82_7563:8180 | STY4_bin_1_NODE_1052_length_11532_cov_472.031_9706:10323	OROTPDECARB-RXN	orotidine-5'-phosphate decarboxylase	4.1.1.23	UniRef90_A4YJQ1	43.269	1.75e-39	143	84	STY1_bin_1_NODE_680_length_11896_cov_19.1536	2435	1818	|PWY-5686|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.23;http://identifiers.org/seed.reaction:rxn00710;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00710;http://identifiers.org/kegg.reaction:R00965;http://identifiers.org/bigg.reaction:OMPDC;http://identifiers.org/biocyc:META:OROTPDECARB-RXN;http://identifiers.org/metanetx.reaction:MNXR102190	MNXR102190	rxn00710	R00965	OMPDC	OROTPDECARB-RXN	|PWY-5686|	UMP biosynthesis I	true	100	0	1	1	CARBPSYN-RXN ASPCARBTRANS-RXN DIHYDROOROT-RXN OROPRIBTRANS-RXN OROTPDECARB-RXN DIHYDROOROTATE-DEHYDROGENASE-RXN
rxn01207_c0	4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)	0.0225403038515791	rxn01207_Shan	"cpd00003[c0],cpd00010[c0],cpd00200[c0],cpd00004[c0],cpd00011[c0],cpd01882[c0]"	"NAD[c0],CoA[c0],4MOP[c0],NADH[c0],CO2[c0],Isovaleryl-CoA[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn01207	4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)	FALSE	0	1000	rxn01207_c0	((STY1_bin_1_NODE_127_length_30266_cov_21.7121_26861:25503 | STY1_bin_1_NODE_226_length_21163_cov_20.3193_12022:13275 | STY2_bin_2_NODE_110_length_31524_cov_34.1629_28116:26758 | STY2_bin_2_NODE_309_length_18290_cov_35.2231_9501:8248 | STY3_bin_1_NODE_386_length_13904_cov_136.468_5353:6606 | STY3_bin_1_NODE_395_length_13777_cov_114.651_3410:4768 | STY4_bin_1_NODE_11_length_92275_cov_574.104_72227:70932 | STY4_bin_1_NODE_158_length_31353_cov_455.023_3414:4772) & (STY1_bin_1_NODE_201_length_22421_cov_22.7549_19815:20660 | STY2_bin_2_NODE_132_length_29459_cov_35.3349_10166:9321 | STY3_bin_1_NODE_180_length_21401_cov_132.658_2122:1277 | STY4_bin_1_NODE_172_length_30412_cov_566.554_20236:21081))	2KETO-3METHYLVALERATE-RXN	(S)-3-methyl-2-oxopentanoate dehydrogenase (acylating)	1.2.1.25	sp|P21880|DLDH1_BACSU	31.087	1.55e-55	198	96	STY2_bin_2_NODE_110_length_31524_cov_34.1629	28116	26758	|ILEUDEG-PWY|	good_blast	full	Subunit undefined	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.2.1.25;http://identifiers.org/seed.reaction:rxn01207;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01207;http://identifiers.org/kegg.reaction:R01651;http://identifiers.org/bigg.reaction:OIVD1m;http://identifiers.org/bigg.reaction:OIVD1r;http://identifiers.org/biocyc:META:2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN;http://identifiers.org/metanetx.reaction:MNXR102172	MNXR102172	rxn01207	R01651	OIVD1m;OIVD1r	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	|ILEUDEG-PWY|	L-isoleucine degradation I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERILEU-RXN 1.1.1.178-RXN TIGLYLCOA-HYDROXY-RXN METHYLACETOACETYLCOATHIOL-RXN 2KETO-3METHYLVALERATE-RXN 2-METHYLACYL-COA-DEHYDROGENASE-RXN
rxn01268_c0	Prephenate:NAD+ oxidoreductase(decarboxylating)	0.0354477418388797	rxn01268_Shan	"cpd00003[c0],cpd00219[c0],cpd00004[c0],cpd00011[c0],cpd00868[c0]"	"NAD[c0],Prephenate[c0],NADH[c0],CO2[c0],p-hydroxyphenylpyruvate[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn01268	Prephenate:NAD+ oxidoreductase(decarboxylating)	FALSE	0	1000	rxn01268_c0	STY1_bin_1_NODE_289_length_18488_cov_19.001_10298:11080 | STY2_bin_2_NODE_113_length_31434_cov_32.1565_10298:11080 | STY3_bin_1_NODE_229_length_18616_cov_134.256_10405:11187 | STY4_bin_1_NODE_136_length_33273_cov_501.448_10802:11584	PREPHENATEDEHYDROG-RXN	prephenate dehydrogenase	1.3.1.12	UniRef90_P43901	33.206	4.35e-33	129	71	STY4_bin_1_NODE_136_length_33273_cov_501.448	10802	11584	|PWY-7303|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.3.1.12;http://identifiers.org/seed.reaction:rxn01268;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01268;http://identifiers.org/kegg.reaction:R01728;http://identifiers.org/bigg.reaction:PPND;http://identifiers.org/bigg.reaction:PPOR_1;http://identifiers.org/biocyc:META:PREPHENATEDEHYDROG-RXN;http://identifiers.org/metanetx.reaction:MNXR103121	MNXR103121	rxn01268	R01728	PPND;PPOR_1	PREPHENATEDEHYDROG-RXN	|PWY-7303|	3-dimethylallyl-4-hydroxybenzoate biosynthesis	false	25	0	0	0	PREPHENATEDEHYDROG-RXN
rxn01420_c0	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	0.0882134644232337	rxn01420_Shan	"cpd00067[c0],cpd03287[c0],cpd00011[c0],cpd00269[c0]"	"H+[c0],Oxaloglutarate[c0],CO2[c0],2-Oxoadipate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn01420	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	FALSE	0	1000	rxn01420_c0	STY1_bin_1_NODE_13_length_102798_cov_19.4395_102477:101389 | STY1_bin_1_NODE_81_length_38385_cov_22.3828_15634:16860 | STY2_bin_2_NODE_589_length_13182_cov_28.7194_12855:11767 | STY2_bin_2_NODE_63_length_43182_cov_39.3271_15614:16840 | STY3_bin_1_NODE_448_length_13136_cov_133.985_902:1990 | STY3_bin_1_NODE_686_length_10968_cov_140.733_3634:2408 | STY4_bin_1_NODE_74_length_43737_cov_497.747_27671:26445 | STY4_bin_1_NODE_9_length_100063_cov_443.882_349:1437	RXN-7970	homo-isocitrate dehydrogenase	1.1.1.87	UniRef90_Q72IW9	37.537	5.57e-43	157	93	STY1_bin_1_NODE_13_length_102798_cov_19.4395	102468	101461	|LYSINE-AMINOAD-PWY|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:1.1.1.87;http://identifiers.org/seed.reaction:rxn01420;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01420;http://identifiers.org/kegg.reaction:R01936;http://identifiers.org/bigg.reaction:OXAGm;http://identifiers.org/metanetx.reaction:MNXR102234	MNXR102234	rxn01420	R01936	OXAGm	NA	|LYSINE-AMINOAD-PWY|	L-lysine biosynthesis IV	false	77	2	1	0	1.5.1.7-RXN HOMOCITRATE-SYNTHASE-RXN 2-AMINOADIPATE-AMINOTRANSFERASE-RXN RXN-7970 RXN-7970
rxn02288_c0	Uroporphyrinogen-III carboxy-lyase	0.0010687618528209	rxn02288_Shan	"cpd00067[c0],cpd00774[c0],cpd00011[c0],cpd02083[c0]"	"H+[c0],UroporphyrinogenIII[c0],CO2[c0],CoproporphyrinogenIII[c0]"	"-4,-1,4,1"	"1,1,1,1"	rxn02288	Uroporphyrinogen-III carboxy-lyase	FALSE	0	1000	rxn02288_c0	STY1_bin_1_NODE_680_length_11896_cov_19.1536_1728:736 | STY2_bin_2_NODE_820_length_11351_cov_32.12_1112:120 | STY3_bin_1_NODE_1076_length_9341_cov_141.82_8270:9262 | STY4_bin_1_NODE_1052_length_11532_cov_472.031_10413:11405	UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37	UniRef90_A1TYW3	55.03	6.52e-114	362	95	STY2_bin_2_NODE_820_length_11351_cov_32.12	1112	120	|CHLOROPHYLL-SYN|	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.37;http://identifiers.org/seed.reaction:rxn02288;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02288;http://identifiers.org/kegg.reaction:R03197;http://identifiers.org/bigg.reaction:UPPDC1;http://identifiers.org/bigg.reaction:UPPDC1_1;http://identifiers.org/biocyc:META:UROGENDECARBOX-RXN;http://identifiers.org/metanetx.reaction:MNXR105140	MNXR105140	rxn02288	R03197	UPPDC1;UPPDC1_1	UROGENDECARBOX-RXN	|CHLOROPHYLL-SYN|	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	false	33	0	2	0	UROGENDECARBOX-RXN RXN1F-20 RXN0-1461
rxn02341_c0	N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase	0.00213752370537058	rxn02341_Shan	"cpd00067[c0],cpd02666[c0],cpd00011[c0],cpd00834[c0]"	"H+[c0],(R)-4'-Phosphopantothenoyl-L-cysteine[c0],CO2[c0],Phosphopantetheine[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn02341	N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase	FALSE	0	1000	rxn02341_c0	STY1_bin_1_NODE_24_length_74968_cov_22.6092_3117:1975 | STY2_bin_2_NODE_1885_length_8067_cov_32.6832_1772:630 | STY4_bin_1_NODE_17_length_74164_cov_478.465_1802:660	P-PANTOCYSDECARB-RXN	4'-phosphopantothenoylcysteine decarboxylase	4.1.1.36	UniRef90_O35033	40.933	5.55e-70	238	93	STY4_bin_1_NODE_17_length_74164_cov_478.465	1802	660	|COA-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.1.36;http://identifiers.org/seed.reaction:rxn02341;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn02341;http://identifiers.org/kegg.reaction:R03269;http://identifiers.org/bigg.reaction:PPCDC;http://identifiers.org/bigg.reaction:r0614;http://identifiers.org/biocyc:META:P-PANTOCYSDECARB-RXN;http://identifiers.org/metanetx.reaction:MNXR103098	MNXR103098	rxn02341	R03269	PPCDC;r0614	P-PANTOCYSDECARB-RXN	|COA-PWY|	coenzyme A biosynthesis I (prokaryotic)	true	100	0	1	1	PANTEPADENYLYLTRAN-RXN DEPHOSPHOCOAKIN-RXN P-PANTOCYSDECARB-RXN P-PANTOCYSLIG-RXN
