target_rxn_IDs	target_rxn_name	flux	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd	react_id	gpr	rxn	name	ec	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	blast.status	pathway.status	complex	exception	complex.status	gs.origin	annotation	MNX_ID	seedID	keggID	biggID	biocycID	ID	Name	Prediction	Completeness	VagueReactions	KeyReactions	KeyReactionsFound	ReactionsFound
rxn00191_c0	L-Alanine:2-oxoglutarate aminotransferase	-1000	rxn00191_Shan	"cpd00024[c0],cpd00035[c0],cpd00020[c0],cpd00023[c0]"	"2-Oxoglutarate[c0],L-Alanine[c0],Pyruvate[c0],L-Glutamate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00191	L-Alanine:2-oxoglutarate aminotransferase	TRUE	-1000	1000	rxn00191_c0	STY1_bin_1_NODE_24_length_74968_cov_22.6092_39867:41054 | STY2_bin_2_NODE_356_length_17223_cov_33.2137_5794:6981 | STY3_bin_1_NODE_143_length_24855_cov_115.692_18862:17675 | STY4_bin_1_NODE_17_length_74164_cov_478.465_43713:44900 | STY4_bin_1_NODE_2_length_187527_cov_473.197_115456:114266	ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	UniRef90_P0A960	26.764	1.49e-30	122	98	STY4_bin_1_NODE_2_length_187527_cov_473.197	115456	114266	|ALACAT2-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.2;http://identifiers.org/seed.reaction:rxn00191;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00191;http://identifiers.org/kegg.reaction:R00258;http://identifiers.org/bigg.reaction:ALATA_L;http://identifiers.org/bigg.reaction:ALATA_Lm;http://identifiers.org/biocyc:META:ALANINE-AMINOTRANSFERASE-RXN;http://identifiers.org/biocyc:META:RXN-13698;http://identifiers.org/metanetx.reaction:MNXR95698	MNXR95698	rxn00191	R00258	ALATA_L;ALATA_Lm	ALANINE-AMINOTRANSFERASE-RXN;RXN-13698	|ALACAT2-PWY|	L-alanine degradation II (to D-lactate)	true	100	0	0	0	ALANINE-AMINOTRANSFERASE-RXN DLACTDEHYDROGNAD-RXN GLUTAMATE-DEHYDROGENASE-RXN
rxn00282_c0	L-alanine:oxaloacetate aminotransferase	99.8450249165126	rxn00282_Shan	"cpd00032[c0],cpd00035[c0],cpd00020[c0],cpd00041[c0]"	"Oxaloacetate[c0],L-Alanine[c0],Pyruvate[c0],L-Aspartate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00282	L-alanine:oxaloacetate aminotransferase	TRUE	-1000	1000	rxn00282_c0	STY1_bin_1_NODE_24_length_74968_cov_22.6092_39867:41054 | STY2_bin_2_NODE_356_length_17223_cov_33.2137_5794:6981 | STY3_bin_1_NODE_143_length_24855_cov_115.692_18862:17675 | STY3_bin_1_NODE_286_length_16543_cov_128.294_11478:10285 | STY4_bin_1_NODE_17_length_74164_cov_478.465_43713:44900 | STY4_bin_1_NODE_2_length_187527_cov_473.197_115456:114266	R00400	L-alanine:oxaloacetate aminotransferase	2.6.1.12	UniRef50_P0A960	26.699	8.65e-31	123	98	STY3_bin_1_NODE_286_length_16543_cov_128.294	11478	10285	map00250	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.12;http://identifiers.org/seed.reaction:rxn00282;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00282;http://identifiers.org/kegg.reaction:R00400;http://identifiers.org/bigg.reaction:ASPTA6;http://identifiers.org/metanetx.reaction:MNXR96100	MNXR96100	rxn00282	R00400	ASPTA6	NA	map00250	Alanine, aspartate and glutamate metabolism	false	66	4	0	0	R00713 R00713 R00714 R00707 R00145 R00114 R00093 R00145 R06124 R01397 R01072 R00694 R00400 R01346 R00576 R00768 R00258 R00372 R00269 R06134 R00490 R01086 R01083 R00253 R00149 R01135 R01954 R00578 R07641
rxn00491_c0	L-phenylalanine:pyruvate aminotransferase	1000	rxn00491_Shan	"cpd00020[c0],cpd00066[c0],cpd00035[c0],cpd00143[c0]"	"Pyruvate[c0],L-Phenylalanine[c0],L-Alanine[c0],Phenylpyruvate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00491	L-phenylalanine:pyruvate aminotransferase	TRUE	-1000	1000	rxn00491_c0		2.6.1.58-RXN	L-phenylalanine:pyruvate aminotransferase	2.6.1.58		NA	NA	NA	NA		NA	NA	|PWY-5079|	no_seq_data	threshold	NA	0	NA	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.58;http://identifiers.org/seed.reaction:rxn00491;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00491;http://identifiers.org/metanetx.reaction:MNXR106646	MNXR106646	rxn00491	NA	NA	NA	|PWY-5079|	L-phenylalanine degradation III	true	83	1	0	0	RXN-7700 RXN-10814 RXN-10814 RXN-10814
rxn00656_c0	L-Alanine:3-oxopropanoate aminotransferase	1000	rxn00656_Shan	"cpd00035[c0],cpd00191[c0],cpd00020[c0],cpd00085[c0]"	"L-Alanine[c0],3-Oxopropanoate[c0],Pyruvate[c0],beta-Alanine[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00656	L-Alanine:3-oxopropanoate aminotransferase	TRUE	-1000	1000	rxn00656_c0	STY1_bin_1_NODE_114_length_32138_cov_24.3308_24745:26070 | STY1_bin_1_NODE_151_length_27786_cov_23.0304_12583:13923 | STY1_bin_1_NODE_50_length_52608_cov_18.6875_47193:45913 | STY2_bin_2_NODE_103_length_34354_cov_43.935_20305:21645 | STY2_bin_2_NODE_165_length_25706_cov_30.7156_19086:17806 | STY2_bin_2_NODE_952_length_10587_cov_54.087_1293:2618 | STY3_bin_1_NODE_108_length_29645_cov_149.122_24850:26175 | STY3_bin_1_NODE_1650_length_7873_cov_149.42_5109:6449 | STY3_bin_1_NODE_204_length_19855_cov_128.54_228:1508 | STY4_bin_1_NODE_110_length_35820_cov_574.256_20296:21636 | STY4_bin_1_NODE_49_length_51601_cov_492.665_44845:43565 | STY4_bin_1_NODE_62_length_47256_cov_585.375_22407:21082	2.6.1.18-RXN	beta-alanine transaminase	2.6.1.18	UniRef90_P28269	44.884	2.19e-112	362	96	STY2_bin_2_NODE_165_length_25706_cov_30.7156	19086	17806	|PWY-1781|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.18;http://identifiers.org/seed.reaction:rxn00656;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00656;http://identifiers.org/kegg.reaction:R00907;http://identifiers.org/bigg.reaction:APATr;http://identifiers.org/biocyc:META:2.6.1.18-RXN;http://identifiers.org/metanetx.reaction:MNXR95865	MNXR95865	rxn00656	R00907	APATr	2.6.1.18-RXN	|PWY-1781|	&beta;-alanine degradation II	true	100	0	1	1	2.6.1.18-RXN RXN-2902
rxn00678_c0	(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	0.025929687992857	rxn00678_Shan	"cpd00020[c0],cpd00519[c0],cpd00032[c0],cpd00086[c0]"	"Pyruvate[c0],D-methylmalonyl-CoA[c0],Oxaloacetate[c0],Propionyl-CoA[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00678	(S)-2-Methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase	TRUE	-1000	1000	rxn00678_c0	((STY1_bin_1_NODE_147_length_28361_cov_21.786_23685:22114 | STY2_bin_2_NODE_279_length_19293_cov_28.7999_14617:13046 | STY3_bin_1_NODE_137_length_25644_cov_135.347_21042:19471 | STY4_bin_1_NODE_4_length_120519_cov_465.846_115729:114158))	2.1.3.1-RXN	methylmalonyl-CoA carboxyltransferase	2.1.3.1	sp|Q8GBW6|12S_PROFR	33.652	1.25e-67	238	84	STY4_bin_1_NODE_4_length_120519_cov_465.846	115708	114176	|P108-PWY|	good_blast	threshold	Subunit OS	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.1.3.1;http://identifiers.org/seed.reaction:rxn00678;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00678;http://identifiers.org/kegg.reaction:R00930;http://identifiers.org/biocyc:META:2.1.3.1-RXN;http://identifiers.org/metanetx.reaction:MNXR106756	MNXR106756	rxn00678	R00930	NA	2.1.3.1-RXN	|P108-PWY|	pyruvate fermentation to propanoate I	true	85	0	1	1	FUMHYDR-RXN R601-RXN METHYLMALONYL-COA-EPIM-RXN METHYLMALONYL-COA-MUT-RXN 2.1.3.1-RXN MALATE-DEH-RXN
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0168092587750401	rxn00726_Shan	"cpd00013[c0],cpd00216[c0],cpd00001[c0],cpd00020[c0],cpd00067[c0],cpd00093[c0]"	"NH3[c0],Chorismate[c0],H2O[c0],Pyruvate[c0],H+[c0],Anthranilate[c0]"	"-1,-1,1,1,1,1"	"1,1,1,1,1,1"	rxn00726	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	FALSE	0	1000	rxn00726_c0	((STY1_bin_1_NODE_247_length_20225_cov_20.2497_9392:10846 | STY2_bin_2_NODE_252_length_20484_cov_33.0599_9718:11172 | STY3_bin_1_NODE_303_length_16163_cov_135.329_6765:5311 | STY4_bin_1_NODE_322_length_21135_cov_514.604_9551:11005) & (STY1_bin_1_NODE_247_length_20225_cov_20.2497_10865:11443 | STY2_bin_2_NODE_252_length_20484_cov_33.0599_11191:11769 | STY3_bin_1_NODE_303_length_16163_cov_135.329_5292:4714 | STY4_bin_1_NODE_322_length_21135_cov_514.604_11024:11602))	ANTHRANSYN-RXN	anthranilate synthase	4.1.3.27	sp|P20580|TRPE_PSEAE	60.78	9.83e-176	546	99	STY2_bin_2_NODE_252_length_20484_cov_33.0599	9718	11172	|PWY-5958|	good_blast	NA	Subunit 1	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.1.3.27;http://identifiers.org/seed.reaction:rxn00726;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00726;http://identifiers.org/kegg.reaction:R00985;http://identifiers.org/bigg.reaction:ANS2;http://identifiers.org/bigg.reaction:ATNS_nh4;http://identifiers.org/metanetx.reaction:MNXR95844	MNXR95844	rxn00726	R00985	ANS2;ATNS_nh4	NA	|PWY-5958|	acridone alkaloid biosynthesis	false	25	2	0	0	ANTHRANSYN-RXN
rxn00849_c0	D-Alanine:2-oxoglutarate aminotransferase	-0.00859732176127181	rxn00849_Shan	"cpd00024[c0],cpd00117[c0],cpd00020[c0],cpd00186[c0]"	"2-Oxoglutarate[c0],D-Alanine[c0],Pyruvate[c0],D-Glutamate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00849	D-Alanine:2-oxoglutarate aminotransferase	TRUE	-1000	1000	rxn00849_c0	STY1_bin_1_NODE_258_length_19790_cov_18.6512_17665:16811 | STY2_bin_2_NODE_123_length_30482_cov_33.4363_2191:3045 | STY3_bin_1_NODE_187_length_21086_cov_130.263_3412:4266 | STY4_bin_1_NODE_292_length_22380_cov_469.769_18403:17549	R01344	D-alanine:2-oxo acid aminotransferase	2.6.1.21	UniRef90_O07597	28.464	2.57e-24	100	89	STY2_bin_2_NODE_123_length_30482_cov_33.4363	2197	2985	map00310	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.21;http://identifiers.org/seed.reaction:rxn00849;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00849;http://identifiers.org/kegg.reaction:R01148;http://identifiers.org/bigg.reaction:ALATA_D;http://identifiers.org/biocyc:META:D-ALANINE-AMINOTRANSFERASE-RXN;http://identifiers.org/metanetx.reaction:MNXR95696	MNXR95696	rxn00849	R01148	ALATA_D	D-ALANINE-AMINOTRANSFERASE-RXN	map00310	Lysine degradation	false	50	8	0	0	R05066 R02401 R00264 R03102 R03283 R00621 R02487 R02203 R00715 R02204 R02205 R10564 R01933 R00927 R01344 R01939 R02274 R03224 R10270 R02402
rxn00904_c0	L-Valine:pyruvate aminotransferase	-1000	rxn00904_Shan	"cpd00020[c0],cpd00156[c0],cpd00035[c0],cpd00123[c0]"	"Pyruvate[c0],L-Valine[c0],L-Alanine[c0],3-Methyl-2-oxobutanoate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn00904	L-Valine:pyruvate aminotransferase	TRUE	-1000	1000	rxn00904_c0	STY1_bin_1_NODE_88_length_37377_cov_21.2193_4856:6088 | STY2_bin_2_NODE_364_length_17001_cov_33.7332_4979:6211 | STY3_bin_1_NODE_50_length_43847_cov_140.333_9647:10879 | STY4_bin_1_NODE_8_length_104303_cov_519.895_57337:56105	VALINE-PYRUVATE-AMINOTRANSFER-RXN	valine-pyruvate aminotransferase	2.6.1.66	UniRef90_P09053	45.631	3.5e-111	357	98	STY4_bin_1_NODE_8_length_104303_cov_519.895	57337	56105	|ALANINE-VALINESYN-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.66;http://identifiers.org/seed.reaction:rxn00904;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn00904;http://identifiers.org/kegg.reaction:R01215;http://identifiers.org/bigg.reaction:VPAMTr;http://identifiers.org/biocyc:META:VALINE-PYRUVATE-AMINOTRANSFER-RXN;http://identifiers.org/metanetx.reaction:MNXR105217	MNXR105217	rxn00904	R01215	VPAMTr	VALINE-PYRUVATE-AMINOTRANSFER-RXN	|ALANINE-VALINESYN-PWY|	L-alanine biosynthesis I	true	100	0	0	0	BRANCHED-CHAINAMINOTRANSFERVAL-RXN VALINE-PYRUVATE-AMINOTRANSFER-RXN
rxn01482_c0	(R)-3-Amino-2-methylpropanoate:pyruvate aminotransferase	1000	rxn01482_Shan	"cpd00020[c0],cpd00886[c0],cpd00035[c0],cpd00287[c0]"	"Pyruvate[c0],D-3-Amino-isobutanoate[c0],L-Alanine[c0],3-Oxo-2-methylpropanoate[c0]"	"-1,-1,1,1"	"1,1,1,1"	rxn01482	(R)-3-Amino-2-methylpropanoate:pyruvate aminotransferase	TRUE	-1000	1000	rxn01482_c0	STY1_bin_1_NODE_111_length_32618_cov_19.205_9155:7965 | STY1_bin_1_NODE_114_length_32138_cov_24.3308_24760:26076 | STY1_bin_1_NODE_151_length_27786_cov_23.0304_12583:13923 | STY1_bin_1_NODE_21_length_76331_cov_22.1833_11770:10475 | STY1_bin_1_NODE_50_length_52608_cov_18.6875_47193:45913 | STY2_bin_2_NODE_103_length_34354_cov_43.935_20305:21645 | STY2_bin_2_NODE_126_length_30056_cov_29.3033_9082:7895 | STY2_bin_2_NODE_165_length_25706_cov_30.7156_19086:17806 | STY2_bin_2_NODE_179_length_24895_cov_31.0939_13114:14409 | STY2_bin_2_NODE_952_length_10587_cov_54.087_1308:2624 | STY3_bin_1_NODE_108_length_29645_cov_149.122_24865:26181 | STY3_bin_1_NODE_118_length_27741_cov_141.156_15962:17257 | STY3_bin_1_NODE_1650_length_7873_cov_149.42_5109:6449 | STY3_bin_1_NODE_204_length_19855_cov_128.54_228:1508 | STY3_bin_1_NODE_90_length_33337_cov_128.971_9055:7865 | STY4_bin_1_NODE_110_length_35820_cov_574.256_20296:21636 | STY4_bin_1_NODE_191_length_28724_cov_456.015_18758:19945 | STY4_bin_1_NODE_252_length_25040_cov_564.091_11787:10492 | STY4_bin_1_NODE_49_length_51601_cov_492.665_44845:43565 | STY4_bin_1_NODE_62_length_47256_cov_585.375_22392:21076	R02050	(R)-3-Amino-2-methylpropanoate:pyruvate aminotransferase	2.6.1.40	UniRef50_A0A021WZ98	31.458	7.63e-32	127	86	STY3_bin_1_NODE_90_length_33337_cov_128.971	8986	7892	map00280	good_blast	NA	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:2.6.1.40;http://identifiers.org/seed.reaction:rxn01482;http://identifiers.org/SBO:0000176;http://identifiers.org/seed.reaction:rxn01482;http://identifiers.org/kegg.reaction:R02050;http://identifiers.org/metanetx.reaction:MNXR107287	MNXR107287	rxn01482	R02050	NA	NA	map00280	Valine, leucine and isoleucine degradation	false	78	2	0	0	R04203 R02047 R05066 R00705 R00264 R04085 R02661 R04095 R02661 R02661 R00209 R00391 R03174 R00927 R04187 R04188 R02050 R01214 R03158 R08090 R03224 R02085 R09979 R00833 R01357 R08924 R04138
rxn01644_c0	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)	0.00429866088060862	rxn01644_Shan	"cpd00020[c0],cpd00346[c0],cpd00001[c0],cpd00067[c0],cpd21488[c0]"	"Pyruvate[c0],L-Aspartate4-semialdehyde[c0],H2O[c0],H+[c0],(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn01644	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)	FALSE	0	1000	rxn01644_c0	STY1_bin_1_NODE_126_length_30494_cov_23.2643_18943:19797 | STY1_bin_1_NODE_286_length_18708_cov_21.7828_8253:7381 | STY2_bin_2_NODE_112_length_31501_cov_43.1383_18890:19744 | STY2_bin_2_NODE_1168_length_9810_cov_36.405_1606:2478 | STY3_bin_1_NODE_196_length_20685_cov_152.838_1843:989 | STY3_bin_1_NODE_746_length_10671_cov_129.366_8167:7295 | STY4_bin_1_NODE_179_length_29791_cov_515.413_18928:19782 | STY4_bin_1_NODE_452_length_17547_cov_527.773_8756:9628	DIHYDRODIPICSYN-RXN	4-hydroxy-tetrahydrodipicolinate synthase	4.3.3.7	UniRef90_A4VN86	63.23	2.16e-106	337	99	STY2_bin_2_NODE_1168_length_9810_cov_36.405	1606	2478	|DAPLYSINESYN-PWY|	good_blast	full	NA	0	1	0	bqbiol_is;http://identifiers.org/SBO:0000167;http://identifiers.org/ec-code:4.3.3.7;http://identifiers.org/seed.reaction:rxn01644;http://identifiers.org/SBO:0000176	NA	NA	NA	NA	NA	|DAPLYSINESYN-PWY|	L-lysine biosynthesis I	true	100	0	1	1	DIAMINOPIMEPIM-RXN DIAMINOPIMDECARB-RXN SUCCDIAMINOPIMDESUCC-RXN SUCCINYLDIAMINOPIMTRANS-RXN TETHYDPICSUCC-RXN DIHYDRODIPICSYN-RXN ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN ASPARTATEKIN-RXN RXN-14014
